the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta2010,nta2020,council,schooldist,policeprct,ct2010,ct2020,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasouce,uid
0101000020E6100000D04FFE35CE7852C0EC44937961654440,0101000020110F0000F029961D5A605FC1D31FF7DAF4005341,ANNA M. KROSS CENTER (AMKC),18-18,HAZEN STREET,18-18 HAZEN STREET,BRONX,11370,BRONX,2,2109476,2026050040,401,BX98,QN0151,22,7,114,100,100,CORRECTIONAL FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.7920372,-73.88758612,1015377.175,227857.4123,nycdoc_corrections,0050f17924c0c9194c057bba6ea78592
0101000020E610000084037AD3567F52C01F840D1B36584440,0101000020110F0000000C8338736B5FC17C8BB5C531F25241,BROOKLYN DETENTION COMPLEX (BKDC),275,ATLANTIC AVENUE,275 ATLANTIC AVENUE,BROOKLYN,11201,BROOKLYN,3,3000605,3001750001,302,BK38,BK0202,33,15,84,4300,4300,CORRECTIONAL FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.68915117,-73.98967444,987113.5448,190352.9604,nycdoc_corrections,08129eff456cf0c136fe2ebfa83d203b
0101000020E6100000641611C8257852C0F0823688D6664440,0101000020110F00005E0273053C5F5FC1F5F92F6397025341,NEW FULTON FISH MARKET,800,FOOD CENTER DRIVE,800 FOOD CENTER DRIVE,BRONX,10474,BRONX,2,0,2027800073,202,BX27,BX0201,17,8,41,9300,9302,JAIL,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.803422,-73.877306,1018217.906,232009.1084,dcp_colp,042a4cd63805a8cf8d2e67da4fc77277
0101000020E6100000647754ABF07752C05220414E0D654440,0101000020110F0000380906CEE15E5FC1D8C89B6F96005341,GEORGE R. VIERNO CENTER (GRVC),9-Sep,HAZEN STREET,9-09 HAZEN STREET,BRONX,11370,BRONX,2,2096863,2026050040,401,BX98,QN0151,22,7,114,100,100,CORRECTIONAL FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.78946856,-73.87406429,1019122.684,226926.663,nycdoc_corrections,10d0b71a02b41abfdba868be6c2ef133
0101000020E6100000B73052DB6E7852C0841FB11606654440,0101000020110F0000116A9A25B85F5FC102D617578E005341,ROBERT N. DAVOREN COMPLEX (RNDC),11-Nov,HAZEN STREET,11-11 HAZEN STREET,BRONX,11370,BRONX,2,2109479,2026050040,401,BX98,QN0151,22,7,114,100,100,CORRECTIONAL FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.78924831,-73.88176616,1016990.08,226843.4472,nycdoc_corrections,1a35afe4c0bb35e57f29b8df9d9d966d
0101000020E6100000BC7724D40C8052C090303F00A95B4440,0101000020110F00008CE7D75EA86C5FC1DE8406E00EF65241,CRIM COURTHOUSE/DETENTION CPLX,100,CENTRE STREET,100 CENTRE STREET,NEW YORK,10013,MANHATTAN,1,1079000,1001670001,101,MN27,MN0102,1,2,5,2900,2901,JAIL,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.716095,-74.000783,984032.9415,200169.2332,dcp_colp,21c018279ac7dbc11e86d6127bf5bf10
0101000020E610000022E82A94CF7B52C0C7D738CE0B5F4440,0101000020110F00005E75DDF674655FC16E025157DAF95241,QUEENSBORO CORRECTIONAL FACILITY,47-04,VAN DAM STREET,47-04 VAN DAM STREET,LONG ISLAND CITY,11101,QUEENS,4,4003538,4002800017,402,QN31,QN0202,26,24,108,19900,19901,CORRECTIONAL FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYS Department of Corrections and Community Supervision,NYSDOCCS,Public,NYS Department of Corrections and Community Supervision,NYSDOCCS,State,0,,40.74254778,-73.9345446,1002387.942,209813.5798,nysdoccs_corrections,254e34a0beede0b06d660f2fc619b95a
0101000020E6100000868FA242757A52C01DF2E45E60684440,0101000020110F00001EDD1FB528635FC1B3BFE64F51045341,HORIZON JUVJ CTR/NYPD 40TH PRECINCT,560,BROOK AVENUE,560 BROOK AVENUE,BRONX,10455,BRONX,2,0,2022760001,201,BX34,BX0102,17,7,40,7100,7100,SECURE DETENTION FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Administration for Childrens Services,NYCACS,Public,NYC Administration for Children's Services,NYCACS,City,0,,40.815441,-73.913407,1008218.998,236376.1153,dcp_colp,26351035ce9acee5fde4c6de0a9b4f96
0101000020E6100000A056985A687E52C0CE3FE4049B5E4440,0101000020110F0000FBE4D726DE695FC1E65D1CEA5BF95241,BELLEVUE HOSPITAL PRISON WARD (BHPW),462,1 AVENUE,462 1 AVENUE,NEW YORK,10016,MANHATTAN,1,1086515,1009620100,106,MN20,MN0603,4,2,13,6200,6200,CORRECTIONAL FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.73910581,-73.97511926,991144.9065,208553.7637,nycdoc_corrections,29de85e4f24025795c6b19314af6c14d
0101000020E610000036DB449D078052C077801CD3B65B4440,0101000020110F00003E2B6D839F6C5FC17428695D1EF65241,MANHATTAN DETENTION COMPLEX (MDC),125,WHITE STREET,125 WHITE STREET,NEW YORK,10013,MANHATTAN,1,1088394,1001670001,101,MN27,MN0102,1,2,5,2900,2901,CORRECTIONAL FACILITY,DETENTION AND CORRECTIONAL,JUSTICE AND CORRECTIONS,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",Regional,NYC Department of Correction,NYCDOC,Public,NYC Department of Correction,NYCDOC,City,0,,40.71651687,-74.00046474,984121.1679,200322.9311,nycdoc_corrections,387da18c0add24530cc05219b97c8428
