the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta2010,nta2020,council,schooldist,policeprct,ct2010,ct2020,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasouce,uid
0101000020E61000000E8419FB8ED961C000000000008056C0,,"ACMH, INC",,,,BRONX,,BRONX,2,0,0,0,,,0,,0,,,SUPPORTED SRO-OMH,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,"ACMH, INC",,,NYC Department of Health and Mental Hygiene,NYCDOHMH,City,0,,0,0,0,0,moeo_socialservicesitelocations,883b69f474151d32674a9598aff84e94
0101000020E61000002591AD3F687D52C0127D31230F544440,0101000020110F00002E95A1212B685FC121C019778BED5241,CAMBA INC,19,WINTHROP STREET,19 WINTHROP STREET,BROOKLYN,11225,BROOKLYN,3,3115690,3050450100,309,BK60,BK0902,40,17,71,079601,079601,"NY NY III SUPPORTED HOUSING-OMH, SUPPORTED HOUSING-OMH",NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,CAMBA INC,,,NYC Department of Health and Mental Hygiene,NYCDOHMH,City,0,,40.6567119592,-73.9594878383,995490.539188,178536.8599,moeo_socialservicesitelocations,00233a82fe4e4f419cb8ba13945ae120
0101000020E61000000E8419FB8ED961C000000000008056C0,,BRONXWORKS INC,,,,,,,0,0,0,0,,,0,,0,,,ADULT OUTREACH SERVICE,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,BRONXWORKS INC,,,NYC Department of Social Services,NYCDSS,City,0,,0,0,0,0,moeo_socialservicesitelocations,24cc1cf9b872d6d7c470d9360b17aa2f
0101000020E6100000DD598CA5618052C0249DA5D8355A4440,0101000020110F0000F3833F71386D5FC1E3D915066FF45241,ODYSSEY HOUSE INC,120,WALL STREET,120 WALL STREET,NEW YORK,10005,MANHATTAN,1,1000871,1000370001,101,MN25,MN0101,1,02,1,000700,000700,SUPPORTED HOUSING-OMH,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,ODYSSEY HOUSE INC,,,NYC Department of Health and Mental Hygiene,NYCDOHMH,City,0,,40.7047682577,-74.0059598799,982597.557754,196042.613763,moeo_socialservicesitelocations,011d6c8933e69721018c0db6edc1888b
0101000020E61000002EB33C15F57452C0C3DC396AE8634440,0101000020110F000048EDCFC6D0595FC173C3C9E74DFF5241,WELLLIFE NETWORK INC.,142-02,20 AVENUE,142-02 20 AVENUE,WHITESTONE,11357,QUEENS,4,4099356,4041830075,407,QN23,QN0701,19,25,109,090700,090700,SUPPORTED HOUSING-OMH,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,WELLLIFE NETWORK INC.,,,NYC Department of Health and Mental Hygiene,NYCDOHMH,City,0,,40.7805302414,-73.827458677,1032034.57919,223692.122924,moeo_socialservicesitelocations,02ad5cf8aa1313e888c572fc9fa487aa
0101000020E61000000E8419FB8ED961C000000000008056C0,,PROJECT HOSPITALITY INC,,,,,,,0,0,0,0,,,0,,0,,,ADULT OUTREACH SERVICE,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,PROJECT HOSPITALITY INC,,,NYC Department of Social Services,NYCDSS,City,0,,0,0,0,0,moeo_socialservicesitelocations,03308a58d29c6a1b89c3e6b283c510c7
0101000020E61000008B107656CC7852C048D0D11CF56F4440,0101000020110F0000E6870DEF56605FC14562522ED40C5341,PROJECT RENEWAL INC,3114,VILLA AVENUE,3114 VILLA AVENUE,BRONX,10468,BRONX,2,2120106,2033100029,207,BX05,BX0702,11,10,52,041100,041100,SUPPORTED SRO-OMH,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,PROJECT RENEWAL INC,,,NYC Department of Health and Mental Hygiene,NYCDOHMH,City,0,,40.8746677422,-73.8874717862,1015370.15845,257962.791858,moeo_socialservicesitelocations,0361ced40efac0ba6774e8a706b60419
0101000020E6100000C18714C0297C52C033245DB120544440,0101000020110F00009DA836210E665FC135F6721E9FED5241,CAMBA INC,690,ALBANY AVENUE,690 ALBANY AVENUE,BROOKLYN,11203,BROOKLYN,3,3327709,3048290004,309,BK60,BK0902,40,18,71,080800,080800,"SUPPORTED HOUSING-OMH, SUPPORTED SRO-OMH",NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,CAMBA INC,,,NYC Department of Health and Mental Hygiene,NYCDOHMH,City,0,,40.6572477056,-73.940048237,1000884.13337,178735.140176,moeo_socialservicesitelocations,03a1f9dcea2fcbde0030cdd5e2fd18d8
0101000020E6100000B8F92C97007D52C016CE6F6D94694440,0101000020110F00008930B60E7B675FC1D44D8509AB055341,MIRABAL SISTERS CULTURAL AND COMMUNITY CENTER INC,618,WEST 142 STREET,618 WEST 142 STREET,NEW YORK,10031,MANHATTAN,1,1062333,1020880106,109,MN04,MN0903,7,06,30,022500,022500,HOUSING SUPPORT,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,MIRABAL SISTERS CULTURAL AND COMMUNITY CENTER INC,,,NYC Department of Youth and Community Development,NYCDYCD,City,0,,40.8248421471,-73.9531610434,997213.223325,239792.911742,moeo_socialservicesitelocations,044bdd4a4828bf03383dadd0fbdb1844
0101000020E6100000689493DA697A52C06629FA427A694440,0101000020110F0000AB791C5515635FC1CD8681AB8D055341,THE BRIDGE INC,425,EAST 161 STREET,425 EAST 161 STREET,BRONX,10451,BRONX,2,2129267,2023830039,203,BX35,BX0301,17,07,42,014100,014100,SUPPORTED SRO-OMH,NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES,HUMAN SERVICES,HEALTH AND HUMAN SERVICES,Local,THE BRIDGE INC,,,NYC Department of Health and Mental Hygiene,NYCDOHMH,City,0,,40.8240436291,-73.9127108038,1008408.58233,239510.553592,moeo_socialservicesitelocations,04cfffc79f3e36b8345b699de5698cd0
