the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta2010,nta2020,council,schooldist,policeprct,ct2010,ct2020,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasouce,uid
0101000020E61000000E8419FB8ED961C000000000008056C0,,NYCDOS WEST 59TH STREET MTS,,,,NEW YORK,10023,MANHATTAN,1,0,0,0,,,0,,0,,,TRANSFER STATION,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,0,0,0,0,nysdec_solidwaste,4f8a615fc7c5c911a72dac9d46580960
0101000020E61000005D6577B0337252C0372FFE8820554440,0101000020110F0000D499339822555FC16E08358FBDEE5241,QE13G GARAGE,153-67,146 AVENUE,153-67 146 AVENUE,JAMAICA,11434,QUEENS,4,4433112,4150010073,413,QN03,QN1306,31,29,105,030600,030600,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.6650553929,-73.7844048654,1044061.67149,181647.611661,dsny_garages,003cd3ba509c232e37fba53e178728d9
0101000020E6100000D9B9AC0BFF7152C0BB1B6076E54C4440,0101000020110F000086C6832CC9545FC14FF2C97B87E55241,QE14G GARAGE,51-10,ALMEDA AVENUE,51-10 ALMEDA AVENUE,FAR ROCKAWAY,11691,QUEENS,4,4616024,4159800100,414,QN12,QN1491,31,27,101,097203,097207,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.6007526373,-73.7811917486,1045011.59,158222.673264,dsny_garages,0059b283716adf863a6f58fa7239a918
0101000020E610000014AEBBDC7C7B52C0A3457BB952674440,0101000020110F0000C63D4276E8645FC1B51612BC22035341,WMNY LLC HARLEM RIVER YARD,98,LINCOLN AVENUE,98 LINCOLN AVENUE,BRONX,10454,BRONX,2,2000682,2023080001,201,BX39,BX0101,8,07,40,001900,001901,TRANSFER STATION,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,"Waste Management of NY; LLC",Non-public,Non-public,NYS Department of Environmental Conservation,NYSDEC,State,0,,40.8072120529,-73.9294959857,1003767.97063,233374.024243,nysdec_solidwaste,039e05ba3b1d482ea21f7a58a37fa36b
0101000020E61000001A3177A1367F52C075370E34044A4440,0101000020110F0000C975A0883C6B5FC11F595BEF4EE25241,BKS13G GARAGE,2012,NEPTUNE AVENUE,2012 NEPTUNE AVENUE,BROOKLYN,11224,BROOKLYN,3,3387557,3070180007,313,BK21,BK1302,47,21,60,032600,032600,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.5782532758,-73.9877093944,987664.172749,149949.939311,dsny_garages,06d5eb86702a284106b3f9e667cfda4e
0101000020E6100000DA85B50FCD7A52C081869D20CB5B4440,0101000020110F00003E55B2D8BD635FC18A65631D35F65241,NEW STYLE RECYCLING CORP,49-10,GRAND AVENUE,49-10 GRAND AVENUE,MASPETH,11378,QUEENS,4,4059004,4026110126,405,QN30,QN0501,30,24,104,053500,053502,TRANSFER STATION,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,Antoinette Cristina,Non-public,Non-public,NYS Department of Environmental Conservation,NYSDEC,State,0,,40.7171364563,-73.9187659526,1006768.85087,200559.108061,nysdec_solidwaste,0b0a3c54389907c05c7387fa70b3228e
0101000020E61000000E8419FB8ED961C000000000008056C0,,DSNY NORTH SHORE HOUSEHOLD SPECIAL WASTE DROP-OFF FACILITY,,,,FLUSHING,11354,QUEENS,4,0,0,0,,,0,,0,,,TRANSFER STATION,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,0,0,0,0,nysdec_solidwaste,0b2033eb003975854690b6ee2f3a5e1b
0101000020E6100000C17BA660A27F52C0E12443F3E0554440,0101000020110F0000B414718DF36B5FC166604F0295EF5241,BKS06G GARAGE,127,2 AVENUE,127 2 AVENUE,BROOKLYN,11215,BROOKLYN,3,3022747,3010200001,306,BK37,BK0601,39,15,78,011700,011700,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.670927437,-73.9942857391,985835.145955,183713.410659,dsny_garages,0d3c81c03fea4a17cfb2ccacaf618963
0101000020E61000001D30D311977F52C01410A3EBA3624440,0101000020110F0000411E4A58E06B5FC1A04123FAE1FD5241,MN07G GARAGE,650,WEST 57 STREET,650 WEST 57 STREET,NEW YORK,10019,MANHATTAN,1,1087609,1011040001,104,MN15,MN0402,6,02,18,013500,013502,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.7706274551,-73.9935955587,986023.947474,220037.209152,dsny_garages,0e37baddfc5ee0a3336b148c5fdc5945
0101000020E6100000B3E380E8967F52C03A28C0FD93624440,0101000020110F000050D01912E06B5FC1B25D0C1DD0FD5241,MN03A GARAGE,786,12 AVENUE,786 12 AVENUE,NEW YORK,10019,MANHATTAN,1,1027163,1011030044,104,MN15,MN0402,6,02,18,013500,013502,DSNY GARAGE,SOLID WASTE TRANSFER AND CARTING,SOLID WASTE,CORE INFRASTRUCTURE AND TRANSPORTATION,Regional,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,0,,40.7701413338,-73.9935857069,986026.689254,219860.099194,dsny_garages,0fa11070a00cc65102241be550ce3372
